customer_part_number,customer_quantity,vendor_name,vendor_file,vendor_available_quantity,can_fulfill,status,source_row_number,source_Part-number,source_Quantity,source_MRP
100,1,VendorD_Spares,VendorD_Spares.csv,10,Yes,CAN_FULFILL,3,100,10,75
100,1,file2,file2.csv,1,Yes,CAN_FULFILL,2,100,1,100
100,1,file_002,file_002.csv,1,Yes,CAN_FULFILL,2,100,1,100
100,1,invoice_001,invoice_001.csv,1,Yes,CAN_FULFILL,3,100,1,75
101,5,file2,file2.csv,2,No,INSUFFICIENT_QUANTITY,3,101,2,102
101,5,file_002,file_002.csv,2,No,INSUFFICIENT_QUANTITY,3,101,2,102
102,2,file_002,file_002.csv,45,Yes,CAN_FULFILL,4,102,45,104
102,2,invoice_001,invoice_001.csv,3,Yes,CAN_FULFILL,4,102,3,10
103,43,file_002,file_002.csv,6,No,INSUFFICIENT_QUANTITY,5,103,6,105
104,34,invoice_001,invoice_001.csv,43,Yes,CAN_FULFILL,5,104,43,100
104,34,file_002,file_002.csv,8,No,INSUFFICIENT_QUANTITY,6,104,8,106
105,3,file_002,file_002.csv,9,Yes,CAN_FULFILL,7,105,9,108
106,54,file_002,file_002.csv,7,No,INSUFFICIENT_QUANTITY,8,106,7,110
106,54,invoice_001,invoice_001.csv,5,No,INSUFFICIENT_QUANTITY,6,106,5,145
107,7,file_002,file_002.csv,5,No,INSUFFICIENT_QUANTITY,9,107,5,234
108,9,invoice_001,invoice_001.csv,65,Yes,CAN_FULFILL,7,108,65,190
109,7,-,-,-,-,PART_NOT_FOUND,,,,
110,76,invoice_001,invoice_001.csv,76,Yes,CAN_FULFILL,8,110,76,235
111,2,invoice_001,invoice_001.csv,4,Yes,CAN_FULFILL,2,111,4,140
111,2,VendorD_Spares,VendorD_Spares.csv,1,No,INSUFFICIENT_QUANTITY,2,111,1,140
112,45,invoice_001,invoice_001.csv,4,No,INSUFFICIENT_QUANTITY,9,112,4,280
113,5,-,-,-,-,PART_NOT_FOUND,,,,
114,7,invoice_001,invoice_001.csv,34,Yes,CAN_FULFILL,10,114,34,325
115,5,-,-,-,-,PART_NOT_FOUND,,,,
